image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,B9140BCD,0.0
test001_2.jpg,B2407UZO,B2407UZ0,0.125
test001_3.jpg,B2842PKM,B2842PKM,0.0
test002_1.jpg,BG1352AE,BG1352AE,0.0
test003_1.jpg,B2634UZF,B2634UZF,0.0
test003_2.jpg,B1995JVK,B1995JVK,0.0
test004_1.jpg,B9062VEH,89062VEH,0.125
test005_1.jpg,DD8798KM,DD2798KM,0.125
test006_1.jpg,T1329KC,T1329KC,0.0
test007_1.jpg,AD8865EE,AD8865EE,0.0
test008_1.jpg,DK1157AAB,DK1157AAB,0.0
test008_2.jpg,AA1997FE,AA1997FE,0.0
test009_1.jpg,H8518NA,H8518NA,0.0
test009_2.jpg,K1649GB,K1649GB,0.0
test010_1.jpg,B9416PCN,B9416PCN,0.0
test010_2.jpg,H1147UY,H1147UY,0.0
test011_1.jpg,H1691IL,H1691IL,0.0
test011_2.jpg,B9374RI,B937481,0.2857
test011_3.jpg,D1204AIG,D1204AIG,0.0
test012_1.jpg,E1887BA,E1887BA,0.0
test013_1.jpg,B1439UZP,B1439UZP,0.0
test013_2.jpg,B1128WOS,B1128WOS,0.0
test014_1.jpg,B1388DFX,B1388DFX,0.0
test015_1.jpg,AD1798BT,AD1798BT,0.0
test016_1.jpg,E1517DQ,E1517DO,0.1429
test017_1.jpg,AD8982FS,AD8982FS,0.0
test018_1.jpg,L7603UA,L7603UA,0.0
test019_1.jpg,AD7HS,AD7HS,0.0
test019_2.jpg,B1959WYK,B1959WYK,0.0
test020_1.jpg,AG8634EK,AG'8634EK,0.125
test020_2.jpg,AD1329PY,AD1328PY,0.125
test021_1.jpg,BA1709DW,BA1709DW,0.0
test021_2.jpg,W1236VZ,W1236VZ,0.0
test022_1.jpg,W1825OZ,W18250Z,0.1429
test022_2.jpg,L1202UE,L1202UE,0.0
test022_3.jpg,L3823IB,L38231B,0.1429
test023_1.jpg,B1730JLO,B1730JL0,0.125
test024_1.jpg,B2964TRU,B2964TRU,0.0
test025_1.jpg,S5585LP,S5585LP,0.0
test025_2.jpg,L2858RR,L285BRR,0.1429
test025_3.jpg,W1185ZO,W1185Z0,0.1429
test025_4.jpg,9840VU,9840VU,0.0
test026_1.jpg,N9652DF,9652DF,0.1429
test026_2.jpg,L3836ZX,L3836ZX,0.0
test027_1.jpg,N1905IG,N1905IG,0.0
test027_2.jpg,B1109CLR,B1109CLR,0.0
test027_3.jpg,L1840AA,L1840AA,0.0
test028_1.jpg,L1438EO,L1438E0,0.1429
test028_2.jpg,L1436AAA,L1436AAJ,0.125
test029_1.jpg,W1518WF,W1516,0.4286
test029_2.jpg,G1986N,G1986N,0.0
test029_3.jpg,L1588OO,L158800,0.2857
test029_4.jpg,L1436AAA,L1436AAA,0.0
test030_1.jpg,S8062NF,S8062NF,0.0
test030_2.jpg,G1894TE,G1894TE,0.0
test031_1.jpg,L1560JQ,L1560JQ,0.0
test031_2.jpg,L1568QO,L156800,0.2857
test031_3.jpg,L1932AAZ,L1932AAZ,0.0
test032_1.jpg,B2754SKY,B2754SKY,0.0
test032_2.jpg,W1192K,W1192K,0.0
test033_1.jpg,L4561VK,L4561VK,0.0
test033_2.jpg,L2693GA,L2693CA,0.1429
test033_3.jpg,W9847G,9847G,0.1667
test033_4.jpg,L1762ABJ,L1762ABJ,0.0
test034_1.jpg,L1811SU,L1811SU,0.0
test034_2.jpg,W1167VO,W1167VB,0.1429
test034_3.jpg,S6131OCF,61310CF,0.25
test034_4.jpg,L2570AAD,L2570AAD,0.0
test035_1.jpg,L9643NN,L9643NN,0.0
test035_2.jpg,L5247GI,L5247CI,0.1429
test035_3.jpg,L2498AAM,L2498AAM,0.0
test035_4.jpg,W1696YO,W1696YO,0.0
test036_1.jpg,B1231JJA,B1231JJA,0.0
test036_2.jpg,B1618UAE,B1618UAE0826,0.5
test037_1.jpg,L1775VO,L1775VO,0.0
test037_2.jpg,L300RX,L300RX,0.0
test037_3.jpg,L1879VG,L1879VC,0.1429
test038_1.jpg,D1523YCN,D1523YCN,0.0
test038_2.jpg,L1877ACU,L1877ACU,0.0
test039_1.jpg,L1069VK,L1069VK,0.0
test040_1.jpg,S1595LL,S1595LL,0.0
test041_1.jpg,B1231JJA,B1231JJA,0.0
test042_1.jpg,AD1174SF,AD1174SF,0.0
test043_1.jpg,W1898YW,W1898YW,0.0
test043_2.jpg,W1470PG,W1470PG,0.0
test044_1.jpg,L1930KF,L1930KF,0.0
test044_2.jpg,N1004HE,N1004HE,0.0
test045_1.jpg,S1347LJ,S1347LJ,0.0
test046_1.jpg,L1470ABK,L1470ABK,0.0
test046_2.jpg,L1265MX,L1265MX,0.0
test047_1.jpg,N1524SY,N1524SY,0.0
test047_2.jpg,L1678ACE,L1678ACE,0.0
test048_1.jpg,L9316BC,L9316BC,0.0
test048_2.jpg,W1838AY,W1838AY,0.0
test049_1.jpg,N1376DE,N1376DE,0.0
test049_2.jpg,N79AP,79AP,0.2
test050_1.jpg,L1265OF,L1265OF,0.0
test050_2.jpg,N1095G,N1095G,0.0
